cuisine,n_dishes,mean_log_DEI,median_log_DEI,std_log_DEI,mean_DEI_z,mean_H,mean_E,pct_pareto
Thai,12,3.854341284572328,3.4716596219007037,1.026458589320578,0.4760098393683326,7.217466666666667,0.21358504962949743,16.666666666666664
Spanish,5,3.8058038891842143,3.4959876780120003,0.9436880224345694,0.8898537549846288,8.12228,0.21960851765188663,0.0
Vietnamese,7,3.7733569526689688,3.3438352499246564,1.063841562346566,0.6550251704056202,7.9900142857142855,0.24669241623256769,14.285714285714285
Mexican,13,3.5972314547864954,3.40984222432872,1.0030596716261813,0.44409916086386486,7.3033230769230775,0.22557441594168412,15.384615384615385
Indian,14,3.5414132030138874,3.483124147795198,0.6480900910167547,0.3972552732989461,7.123214285714285,0.21867540694785367,7.142857142857142
Italian,16,3.539381406504307,3.530291384464169,0.7957299566265509,0.11483389157492724,7.02693125,0.2562730815559514,0.0
Korean,10,3.5238825387320984,3.362277370085125,1.0492500296439273,-0.17257088533735948,6.572330000000001,0.26599582787091297,10.0
Japanese,14,3.4584686374681155,3.488447134797437,0.9142657303304054,-0.19322847669035445,5.4896142857142864,0.18266548010242128,0.0
Mediterranean,12,3.4253411699099794,3.2386263308634367,0.7263940164449605,0.04493054598986459,7.069116666666666,0.27086202389989905,0.0
Other,7,3.3127057211867013,3.591156262664236,0.7770884218155111,-0.8396190081497633,4.4775285714285715,0.20535994810683006,0.0
Chinese,20,3.2601149506391636,3.220130339592103,0.5503155153926652,-0.1975934235449471,6.14707,0.23597834576481383,0.0
French,10,3.2561926907564596,3.2948842737455397,0.4210465733070217,0.04567660770947668,7.745050000000001,0.324833707880262,0.0
American,18,3.166513188147918,3.0494894106164696,0.8845108102428352,-0.8141439887102302,6.186527777777778,0.33803568608489953,0.0
