family,n_members,alpha,alpha_se,r_squared,p_value,base_dish
Dumpling,11,-0.3160379621607231,0.31101287600161565,0.10292226505301048,0.33609193886887934,eomandu
Dessert,146,-0.06809038667481453,0.10208125452585944,0.0030801888050860276,0.5058258458649072,gelato
Seafood,16,-0.040132310499185496,0.5443069232953727,0.000388153913430949,0.9422675112806373,sashimi
Noodle/Pasta,47,0.16507958463232503,0.5930940130805021,0.0017186209880588842,0.7820292171137013,cup_noodles
Soup,31,0.1904612572666496,0.28178311833461994,0.015509467885486579,0.504449999989367,miso_soup
Salad/Cold,15,0.2742328286623219,0.40823465628477357,0.033547212253380844,0.5135022822408246,rojak
Egg,42,0.353390209989605,0.1797398405603576,0.08812435455792901,0.05625177032494695,coddled_egg
Rice Dish,65,0.4191189408893981,0.2622306515073408,0.03896772845074666,0.11498377879535798,nasi_kucing
Curry,26,0.56269104781073,0.4673424137651873,0.056962289289313975,0.24032160137495343,aloo_gobi
Bread,67,0.8707597872201654,0.3468642671100193,0.08838447011788969,0.014558139611268742,chapati
Beef,15,1.0357102083099308,0.7969553810591229,0.11497904577437447,0.216317263617341,beef_bun
Chicken,25,1.421287978469666,0.7257567911278598,0.14291505459095488,0.06242501377042517,chicken_salad
Kebab/Grill,12,1.627958246886896,1.0053123554196286,0.20775215997534566,0.13643971265492713,grilled_cheese
Pork,7,1.814830816757523,1.4741017790841817,0.23262442686520926,0.2730165566990173,pork_roll
