year,n_mentions,n_dishes,spearman_rho,p_value,mean_H
2009,1217,120,0.39588860337523435,7.619351182426691e-06,7.0913743025568925
2010,2185,153,0.37107139506520304,2.3358718427264786e-06,7.049922364309123
2011,3300,156,0.46011284790820434,1.5131361375103722e-09,7.0764806181011775
2012,3798,156,0.6095399156011442,3.0571695547633625e-17,7.043573228731602
2013,4623,155,0.5956656246978828,2.9487790403961776e-16,7.0243761263547615
2014,5969,157,0.6747499054199045,3.3624382109286814e-22,7.055219468608696
2015,7543,157,0.6518305124690676,2.3408632120343858e-20,7.0260757451251505
2016,7949,157,0.7152301862452632,6.796623117386832e-26,7.0405604837075435
2017,8708,157,0.7664677900507941,1.3098694487334552e-31,7.054617956835139
2018,9145,157,0.7685144412952201,7.224278671073057e-32,7.061235257939213
2019,8981,157,0.7904787303319917,8.069147198315083e-35,7.0415864366954635
2020,5677,157,0.6028225181252674,6.623598470882429e-17,7.134928289088897
2021,6556,157,0.7454586049280881,4.224094713255102e-29,7.047926065069354
