category,n_dishes,H_cv_pct,E_cv_pct,H_contribution_pct,H_mean,E_mean,log_DEI_mean,protein_mean,cal_mean
Beverage,4,48.65367208786701,33.77002754707089,61.00932476361282,5.72325,0.03662550754415107,5.010096804233545,5.00075,265.16999999999996
Dairy Main,14,26.612546644968386,22.75766694741474,86.62253038435288,6.881114285714284,0.2502182897209488,3.300385727324669,32.345642857142856,722.3914285714287
Dessert,23,25.474455951450036,36.490425712881695,19.34060563535995,6.911856521739132,0.2510262052056762,3.3781480761163936,13.930304347826086,819.0639130434781
Egg Dish,6,30.47097601826935,38.082376184112,47.132478586566734,5.815433333333332,0.22123523315321073,3.28255610257214,26.785666666666668,622.4916666666667
Mixed/Other,62,34.798657464208574,48.11584043259801,34.35318177752996,5.788140322580644,0.19129632426413073,3.487248561752484,21.083274193548384,499.81693548387096
Plant Protein,11,23.27081943313926,45.16344437338489,13.970365709169405,6.834563636363637,0.1732935656373636,3.7679007623584124,32.76381818181818,689.6209090909092
Pork Main,26,28.046415530189574,31.170262095271482,55.71209453765364,6.432726923076924,0.30611518934943976,3.0489426830353037,55.235846153846154,713.8726923076922
Poultry Main,43,42.21496182641988,25.93803745828228,99.856085770552,5.531302325581395,0.27888016924051917,2.9017001300613328,51.98297674418605,720.8753488372093
Red Meat Main,45,29.511977365201098,31.711450241134116,55.16429190326125,6.295102222222221,0.5783786053125994,2.3880810100719096,52.72473333333333,735.3522222222222
Salad/Cold,12,40.64970659694422,68.9793388701768,29.70966538450347,6.013183333333333,0.024865180842380322,5.727143948691103,10.631333333333332,199.25916666666672
Seafood Main,17,30.643513893606034,44.01066139901375,30.019557619940755,5.710694117647059,0.20594129708404213,3.3945696945521164,36.07982352941177,543.24
Soup/Stew,13,26.11670304857048,36.871831691337576,31.593708026072402,7.0387,0.16084127094654976,3.8232709065387667,24.080384615384617,382.8961538461538
Starch/Carb,58,38.15485451624203,30.786543299735992,73.18765421675263,5.8340155172413795,0.1981614432478289,3.325230562265478,23.249741379310347,618.4693103448276
